Run accession number	Number of base pairs	Tissue type	Cell line	Cell type	UBERON code	UBERON term	DOT code	DOT term	Library strategy	Instrument platform	Donor information
SRR23630258	46087532044	nan	nan	primary skin fibroblasts	nan	nan	nan	nan	RNA-Seq	ILLUMINA	nan
SRR3621786	1274164994	liver	Primary tissue	Hepatocytes	nan	nan	nan	nan	RNA-Seq	ILLUMINA	nan
SRR14362371	12045796800	Heart  Atrial Appendage 	Primary tissue	Cardiac Myocytes	UBERON:0006631	right atrium auricular region	normal	Ischemic Heart Disease	RNA-Seq	ILLUMINA	nan
SRR8932009	9999910616	ESCC	nan	nan	nan	nan	nan	nan	RNA-Seq	ILLUMINA	nan
SRR24630282	13922886000	endometrium	Primary tissue	Epithelial	UBERON:0000062, UBERON:0000468, UBERON:0000995	multicellular organism, organ, uterus	normal	normal	RNA-Seq	ILLUMINA	nan
SRR11927142	10512111200	Lateral Amygdala  human brain tissue 	Primary tissue	Neuron	UBERON:0001876	amygdala	normal	normal	RNA-Seq	ILLUMINA	nan
SRR20695360	24127489800	dermis	Primary tissue	Dermal cells	UBERON:0002097	skin of body	normal	normal	RNA-Seq	ILLUMINA	nan
SRR22301789	10702597328	Placenta	Primary tissue	placental villous tissue	nan	nan	normal	normal	RNA-Seq	ILLUMINA	nan
SRR15013639	3830772192	liver	Primary tissue	Hepatocyte	UBERON:0002107	liver	normal	normal	RNA-Seq	ILLUMINA	nan
SRR22925402	9939566146	Placenta	Primary tissue	Trophoblasts Placental endothelial cells Decidual cells	nan	nan	nan	nan	RNA-Seq	ILLUMINA	nan
SRR22301772	11824233180	Placenta	nan	placental villous tissue	nan	nan	nan	nan	RNA-Seq	ILLUMINA	nan
SRR12743479	15077321400	lung	Primary tissue	Lung tissue cells   possible types include but are not limited to pneumocytes alveolar macrophages and bronchial epithelial cells	UBERON:0002048	lung	DOID:2957	pulmonary tuberculosis	RNA-Seq	ILLUMINA	nan
SRR24630284	15279427200	endometrium	Primary tissue	Endometrial epithelial	UBERON:0001295	endometrium	normal	normal	RNA-Seq	ILLUMINA	nan
SRR19095724	2996133084	Vastus Lateralis	Primary tissue	Skeletal muscle cell	UBERON:0000376, UBERON:0001630	hindlimb stylopod, muscle organ	DOID:0080846	latent autoimmune diabetes in adults	RNA-Seq	ILLUMINA	nan
SRR11927149	10353182000	Lateral Amygdala  human brain tissue 	Primary tissue	Neuron	UBERON:0001876	amygdala	normal	normal	RNA-Seq	ILLUMINA	nan
SRR15013497	7745260512	liver	Primary tissue	Hepatocyte	UBERON:0002107	liver	normal	normal	RNA-Seq	ILLUMINA	nan
ERR4659289	3826981758	nan	nan	epithelial cell of thymus	nan	nan	nan	nan	RNA-Seq	ILLUMINA	nan
SRR24709858	4760968776	Basilic vein	Primary tissue	Venous endothelial cells Smooth muscle cells Fibroblasts	nan	Upper limb vein	DOID:557	kidney disease	RNA-Seq	ILLUMINA	nan
SRR8932005	8820622294	ESCC	Primary tissue	Epithelial cells	UBERON:0001043	esophagus	normal	normal	RNA-Seq	ILLUMINA	nan
SRR836285	2962044750	brain	Primary tissue	Neuron	UBERON:0000955	brain	normal	normal	RNA-Seq	ILLUMINA	nan
